대학명,면적,위도,경도
서울대학교,"4,317,000㎡",37.4648267,126.9571988
연세대학교,"952,750㎡",37.5663937,126.9387066
고려대학교,"946,177㎡",37.58938759999999,127.0324773
이화여자대학교,"554,927㎡",37.5618588,126.9468339
서울과학기술대학교,"504,922㎡",37.6316684,127.0774813
건국대학교,"456,392㎡[62]",37.5423265,127.0759204
서울시립대학교,"434,004㎡",37.5838657,127.0587771
한양대학교,"401,729㎡",37.5571759,127.0454092
삼육대학교,"319,537㎡",37.6435824,127.1063459
서강대학교,"242,091㎡",37.5509442,126.9410023
서울여자대학교,"225,020㎡",37.6281126,127.0904568
국민대학교,"191,736㎡",37.6108694,126.9972889
덕성여자대학교,"188,260㎡",37.6512976,127.0165728
중앙대학교,"179,972㎡",37.5045563,126.9569379
상명대학교,"174,763㎡",37.602638,126.955252
동국대학교,"171,904㎡",37.5582876,127.0001671
성신여자대학교,"156,419㎡",37.5912999,127.0221068
성균관대학교,"154,104㎡",37.588227,126.993606
가톨릭대학교,"137,991㎡",37.5857654,127.0048121
숭실대학교,"133,951㎡",37.4963538,126.9572222
세종대학교,"119,694㎡",37.5507583,127.0741682
홍익대학교,"112,653㎡",37.5507563,126.9254901
강서대학교,"92,483㎡",37.5483449,126.8547974
한국외국어대학교,"82,291㎡",37.5974453,127.0588002
광운대학교,"75,836㎡",37.6194277,127.05982
숙명여자대학교,"68,337㎡",37.54647500000001,126.9646916
명지대학교,"55,486㎡",37.5802219,126.9226047
동덕여자대학교,"54,323㎡",37.6068163,127.0423832
서경대학교,"53,615㎡",37.6148855,127.0133508
한성대학교,"48,726㎡",37.58284829999999,127.0105811
총신대학교,"42,349㎡",37.4886232,126.9668169
성공회대학교,"39,431㎡",37.4877355,126.825157
경기대학교,"19,157㎡",37.30048499999999,127.035833
서울한영대학교,"18,899㎡",37.4965411,126.8512616
서울기독대학교,"7,940㎡",37.6009165,126.9123639
인덕대학교,"76,485m²",37.6314191,127.0548249
한양여자대학교,"70,558㎡",37.5586668,127.0498872
한국폴리텍대학[81],"57,729㎡[82]",37.5473978,126.9498895
삼육보건대학교,"49,710㎡",37.589321,127.064443
서일대학교,"38,505㎡",37.5866169,127.0977436
동양미래대학교,"36,881㎡",37.5005419,126.8676709
명지전문대학,"33,500㎡",37.5846465,126.9251874
숭의여자대학교,"25,724㎡",37.5563973,126.9874967
배화여자대학교,"23,389㎡",37.5779167,126.9676798
서울여자간호대학교,"4,534㎡",37.597475,126.947416
